rheaid	reactionEquation	L	R
RHEA:10068	4-O-[(D-ribitylphospho)(n)-D-ribitylphospho-(2R)-glycerylphospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl di-trans,octa-cis-undecaprenyl diphosphate + n UDP-alpha-D-glucose = 4-O-[(2-beta-D-glucosyl-D-ribitylphospho)(n)-D-ribitylphospho-(2R)-glycerylphospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl di-trans,octa-cis-undecaprenyl diphosphate + n H(+) + n UDP	POLYMER:12833, CHEBI:58885	POLYMER:14260, CHEBI:58223, CHEBI:15378
RHEA:10072	N,N-dimethylglycine + S-adenosyl-L-methionine = betaine + H(+) + S-adenosyl-L-homocysteine	CHEBI:58251, CHEBI:59789	CHEBI:15378, CHEBI:57856, CHEBI:17750
RHEA:10076	H2O + lactose = D-galactose + D-glucose	CHEBI:15377, CHEBI:17716	CHEBI:4139, CHEBI:4167
RHEA:10080	dihydrophloroglucinol + NADP(+) = 1,3,5-trihydroxybenzene + NADPH	CHEBI:58349, CHEBI:77638	CHEBI:57783, CHEBI:16204
RHEA:10084	3,4-dihydroxybenzoate + O2 = 3-carboxy-cis,cis-muconate + 2 H(+)	CHEBI:15379, CHEBI:36241	CHEBI:15378, CHEBI:57496
RHEA:10088	sucrose + UDP-alpha-D-galactose = 6(F)-alpha-D-galactosylsucrose + H(+) + UDP	CHEBI:17992, CHEBI:66914	CHEBI:58223, CHEBI:15378, CHEBI:17332
RHEA:10092	a 2'-deoxyribonucleoside 3'-phosphate + H2O = a 2'-deoxyribonucleoside + phosphate	CHEBI:131705, CHEBI:15377	CHEBI:18274, CHEBI:43474
RHEA:10096	a fatty acyl-[ACP] + S-adenosyl-L-methionine = an N-acyl-L-homoserine lactone + H(+) + holo-[ACP] + S-methyl-5'-thioadenosine	GENERIC:14125, CHEBI:59789	CHEBI:15378, CHEBI:17509, CHEBI:55474, GENERIC:9685
RHEA:10100	a sterol ester + H2O = a fatty acid + a sterol + H(+)	CHEBI:15377, CHEBI:35915	CHEBI:15889, CHEBI:15378, CHEBI:28868
RHEA:10104	2-oxoglutarate + gibberellin A20 + O2 = CO2 + gibberellin A1 + succinate	CHEBI:15379, CHEBI:16810, CHEBI:58526	CHEBI:30031, CHEBI:16526, CHEBI:58524
RHEA:10108	(7S)-salutaridinol + NADP(+) = H(+) + NADPH + salutaridine	CHEBI:58463, CHEBI:58349	CHEBI:58061, CHEBI:15378, CHEBI:57783
RHEA:10112	L-homocysteine + L-serine = H2O + L,L-cystathionine	CHEBI:58199, CHEBI:33384	CHEBI:15377, CHEBI:58161
RHEA:10116	6-phospho-D-gluconate + NADP(+) = CO2 + D-ribulose 5-phosphate + NADPH	CHEBI:58759, CHEBI:58349	CHEBI:58121, CHEBI:57783, CHEBI:16526
RHEA:10120	adenosine in double-stranded RNA + H(+) + H2O = inosine in double-stranded RNA + NH4(+)	CHEBI:15377, GENERIC:13885, CHEBI:15378	CHEBI:28938, GENERIC:13886
RHEA:10124	H(+) + NADPH + O2 + phenylacetone = benzyl acetate + H2O + NADP(+)	CHEBI:15379, CHEBI:15378, CHEBI:57783, CHEBI:52052	CHEBI:15377, CHEBI:52051, CHEBI:58349
RHEA:10128	all-trans-violaxanthin = all-trans-neoxanthin	CHEBI:35288	CHEBI:32446
RHEA:10132	ATP + benzoate + CoA = AMP + benzoyl-CoA + diphosphate	CHEBI:57287, CHEBI:16150, CHEBI:30616	CHEBI:57369, CHEBI:33019, CHEBI:456215
RHEA:10136	2 glyoxylate + H(+) = 2-hydroxy-3-oxopropanoate + CO2	CHEBI:36655, CHEBI:15378	CHEBI:57978, CHEBI:16526
RHEA:10140	NADP(+) + prostaglandin F2alpha = H(+) + NADPH + prostaglandin D2	CHEBI:57404, CHEBI:58349	CHEBI:57406, CHEBI:15378, CHEBI:57783
RHEA:10144	a ribonucleoside 3'-phosphate + H2O = a ribonucleoside + phosphate	CHEBI:15377, CHEBI:13197	CHEBI:43474, CHEBI:18254
RHEA:10148	blasticidin S + H(+) + H2O = deaminohydroxyblasticidin S + NH4(+)	CHEBI:57289, CHEBI:15377, CHEBI:15378	CHEBI:28938, CHEBI:57697
RHEA:10152	ATP + hydrogencarbonate + NH4(+) = ADP + carbamoyl phosphate + H(+) + H2O	CHEBI:28938, CHEBI:17544, CHEBI:30616	CHEBI:15377, CHEBI:456216, CHEBI:15378, CHEBI:58228
RHEA:10156	dihydrochelirubine + O2 + reduced [NADPH--hemoprotein reductase] = 12-hydroxydihydrochelirubine + H(+) + H2O + oxidized [NADPH--hemoprotein reductase]	GENERIC:11964, CHEBI:15379, CHEBI:17789	GENERIC:11965, CHEBI:15377, CHEBI:15716, CHEBI:15378
RHEA:10160	L-iditol + NAD(+) = H(+) + L-sorbose + NADH	CHEBI:57540, CHEBI:18202	CHEBI:13172, CHEBI:57945, CHEBI:15378
RHEA:10164	(2R)-2-phosphoglycerate = H2O + phosphoenolpyruvate	CHEBI:58289	CHEBI:15377, CHEBI:58702
RHEA:10168	15,16-dihydrobiliverdin + oxidized 2[4Fe-4S]-[ferredoxin] = biliverdin IXalpha + 2 H(+) + reduced 2[4Fe-4S]-[ferredoxin]	GENERIC:10004, CHEBI:57899	GENERIC:10002, CHEBI:57991, CHEBI:15378
RHEA:10172	(3R)-hydroxybutanoate dimer + H2O = 2 (R)-3-hydroxybutanoate + H(+)	CHEBI:15377, CHEBI:10979	CHEBI:15378, CHEBI:10983
RHEA:10176	(2S,3R)-2-hydroxy-3-(indol-3-yl)butanoate + NAD(+) = (R)-3-(indol-3-yl)-2-oxobutanoate + H(+) + NADH	CHEBI:131783, CHEBI:57540	CHEBI:91180, CHEBI:57945, CHEBI:15378
RHEA:10180	(6S)-10-formyltetrahydrofolate + H2O + NADP(+) = (6S)-5,6,7,8-tetrahydrofolate + CO2 + H(+) + NADPH	CHEBI:15377, CHEBI:57454, CHEBI:58349	CHEBI:15378, CHEBI:57783, CHEBI:16526, CHEBI:57453
RHEA:10184	(4,5-dihydro-5-oxofuran-2-yl)-acetate + H2O = 3-oxoadipate + H(+)	CHEBI:15377, CHEBI:58425	CHEBI:15775, CHEBI:15378
RHEA:10188	acetoacetyl-CoA + acetyl-CoA + H2O = (3S)-hydroxy-3-methylglutaryl-CoA + CoA + H(+)	CHEBI:15377, CHEBI:57288, CHEBI:57286	CHEBI:57287, CHEBI:15378, CHEBI:43074
RHEA:10192	ATP + H2O + sulfate(out) = ADP + H(+) + phosphate + sulfate(in)	CHEBI:15377, CHEBI:16189, CHEBI:30616	CHEBI:456216, CHEBI:15378, CHEBI:16189, CHEBI:43474
RHEA:10196	(1R,6R)-6-hydroxy-2-succinyl-cyclohexa-2,4-diene-1-carboxylate = 2-succinylbenzoate + H2O	CHEBI:58689	CHEBI:15377, CHEBI:18325
RHEA:10200	butanoate + NAD(+) = (2E)-2-butenoate + H(+) + NADH	CHEBI:17968, CHEBI:57540	CHEBI:35899, CHEBI:57945, CHEBI:15378
RHEA:10204	dimethylamine + H(+) + H2O + oxidized [electron-transfer flavoprotein] = formaldehyde + methylamine + reduced [electron-transfer flavoprotein]	GENERIC:10685, CHEBI:15377, CHEBI:15378, CHEBI:58040	GENERIC:10686, CHEBI:16842, CHEBI:59338
RHEA:10208	an N-terminal L-alpha-aminoacyl-[protein] + L-arginyl-tRNA(Arg) = H(+) + N-terminal L-arginyl-L-amino acid-[protein] + tRNA(Arg)	GENERIC:10636, GENERIC:9673	GENERIC:10638, CHEBI:15378, GENERIC:9658
RHEA:10212	2-oxoglutarate + 5-aminopentanoate = 5-oxopentanoate + L-glutamate	CHEBI:16810, CHEBI:356010	CHEBI:29985, CHEBI:16120
RHEA:10216	[DNA-directed RNA polymerase] + ATP = ADP + H(+) + phospho-[DNA-directed RNA polymerase]	GENERIC:11321, CHEBI:30616	GENERIC:11322, CHEBI:456216, CHEBI:15378
RHEA:10220	ATP + L-tyrosine + tRNA(Tyr) = AMP + diphosphate + H(+) + L-tyrosyl-tRNA(Tyr)	CHEBI:58315, CHEBI:30616, GENERIC:9707	CHEBI:33019, CHEBI:456215, CHEBI:15378, GENERIC:9706
RHEA:10224	ATP + pyridoxal = ADP + H(+) + pyridoxal 5'-phosphate	CHEBI:17310, CHEBI:30616	CHEBI:456216, CHEBI:15378, CHEBI:597326
RHEA:10228	citrate = cis-aconitate + H2O	CHEBI:16947	CHEBI:15377, CHEBI:16383
RHEA:10232	5,6-dihydrouridine 5'-monophosphate + diphosphate = 5,6-dihydrouracil + 5-phospho-alpha-D-ribose 1-diphosphate	CHEBI:33019, CHEBI:142106	CHEBI:15901, CHEBI:58017
RHEA:10236	trans-2-coumarate + UDP-alpha-D-glucose = H(+) + trans-beta-D-glucosyl-2-hydroxycinnamate + UDP	CHEBI:58885, CHEBI:12875	CHEBI:58181, CHEBI:58223, CHEBI:15378
RHEA:10240	a 2,3-saturated acyl-[ACP] + NAD(+) = a (2E)-enoyl-[ACP] + H(+) + NADH	CHEBI:57540, GENERIC:9926	CHEBI:57945, CHEBI:15378, GENERIC:9925
RHEA:10244	4-fumarylacetoacetate + H2O = acetoacetate + fumarate + H(+)	CHEBI:15377, CHEBI:18034	CHEBI:29806, CHEBI:15378, CHEBI:13705
RHEA:10248	dUTP + H2O = diphosphate + dUMP + H(+)	CHEBI:15377, CHEBI:61555	CHEBI:33019, CHEBI:15378, CHEBI:246422
RHEA:10252	H(+) + hydrogen sulfide + O-phospho-L-serine = L-cysteine + phosphate	CHEBI:57524, CHEBI:15378, CHEBI:29919	CHEBI:35235, CHEBI:43474
RHEA:10256	[(1->4)-6-phospho-alpha-D-glucosyl](n) + n ATP + n H2O = [(1->4)-3,6-bisphospho-alpha-D-glucosyl](n) + n AMP + 2n H(+) + n phosphate	CHEBI:15377, POLYMER:12983, CHEBI:30616	POLYMER:14598, CHEBI:456215, CHEBI:15378, CHEBI:43474
RHEA:10260	ATP + H2O + Mg(2+)(out) = ADP + H(+) + Mg(2+)(in) + phosphate	CHEBI:15377, CHEBI:18420, CHEBI:30616	CHEBI:456216, CHEBI:15378, CHEBI:18420, CHEBI:43474
RHEA:10264	alpha-D-glucose = beta-D-glucose	CHEBI:17925	CHEBI:15903
RHEA:10268	2-dehydro-3-deoxy-D-glucarate = 2-hydroxy-3-oxopropanoate + pyruvate	CHEBI:58098	CHEBI:57978, CHEBI:15361
RHEA:10272	a 1,2-diacyl-sn-glycerol + ATP = a 1,2-diacyl-sn-glycero-3-phosphate + ADP + H(+)	CHEBI:17815, CHEBI:30616	CHEBI:456216, CHEBI:58608, CHEBI:15378
RHEA:10276	5-diphospho-1D-myo-inositol 1,2,3,4,6-pentakisphosphate + ATP + H(+) = 1,5-bis(diphospho)-1D-myo-inositol 2,3,4,6-tetrakisphosphate + ADP	CHEBI:15378, CHEBI:58628, CHEBI:30616	CHEBI:456216, CHEBI:77983
RHEA:10280	1,7-dimethylxanthine + S-adenosyl-L-methionine = caffeine + H(+) + S-adenosyl-L-homocysteine	CHEBI:25858, CHEBI:59789	CHEBI:27732, CHEBI:15378, CHEBI:57856
RHEA:10284	L-leucine = (3R)-beta-leucine	CHEBI:57427	CHEBI:57428
RHEA:10288	H2O + L-rhamnono-1,4-lactone = H(+) + L-rhamnonate	CHEBI:17937, CHEBI:15377	CHEBI:58118, CHEBI:15378
RHEA:10292	acetyl-CoA + D-glucosamine 6-phosphate = CoA + H(+) + N-acetyl-D-glucosamine 6-phosphate	CHEBI:57288, CHEBI:58725	CHEBI:57287, CHEBI:57513, CHEBI:15378
RHEA:10296	D-glyceraldehyde 3-phosphate + NADP(+) + phosphate = (2R)-3-phospho-glyceroyl phosphate + H(+) + NADPH	CHEBI:58349, CHEBI:43474, CHEBI:59776	CHEBI:57604, CHEBI:15378, CHEBI:57783
RHEA:10300	D-glyceraldehyde 3-phosphate + NAD(+) + phosphate = (2R)-3-phospho-glyceroyl phosphate + H(+) + NADH	CHEBI:57540, CHEBI:43474, CHEBI:59776	CHEBI:57945, CHEBI:57604, CHEBI:15378
RHEA:10304	a 2-acyl-sn-glycero-3-phosphoethanolamine + a fatty acyl-[ACP] = a 1,2-diacyl-sn-glycero-3-phosphoethanolamine + holo-[ACP]	GENERIC:14125, CHEBI:65213	CHEBI:64612, GENERIC:9685
RHEA:10308	a 1,2-diacylglycerol + CDP-choline = a 1,2-diacyl-sn-glycero-3-phosphocholine + CMP + H(+)	CHEBI:49172, CHEBI:58779	CHEBI:15378, CHEBI:60377, CHEBI:57643
RHEA:10312	H(+) + NADH + O2 + terephthalate = (3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate + NAD(+)	CHEBI:15379, CHEBI:57945, CHEBI:30043, CHEBI:15378	CHEBI:57412, CHEBI:57540
RHEA:10316	2-oxoglutarate + O2 + thymine = 5-hydroxymethyluracil + CO2 + succinate	CHEBI:15379, CHEBI:17821, CHEBI:16810	CHEBI:30031, CHEBI:16964, CHEBI:16526
RHEA:10320	trans-3-hydroxy-L-proline = 1-pyrroline-2-carboxylate + H2O	CHEBI:57938	CHEBI:15377, CHEBI:39785
RHEA:10324	an L-glycol + NADP(+) = a 2-hydroxycarbonyl + H(+) + NADPH	CHEBI:27636, CHEBI:58349	CHEBI:52501, CHEBI:15378, CHEBI:57783
RHEA:10328	an L-glycol + NAD(+) = a 2-hydroxycarbonyl + H(+) + NADH	CHEBI:57540, CHEBI:27636	CHEBI:57945, CHEBI:52501, CHEBI:15378
RHEA:10332	a 2-acyl-sn-glycero-3-phosphocholine + an acyl-CoA = a 1,2-diacyl-sn-glycero-3-phosphocholine + CoA	CHEBI:57875, CHEBI:58342	CHEBI:57287, CHEBI:57643
RHEA:10336	citrate = isocitrate	CHEBI:16947	CHEBI:16087
RHEA:10340	(2E,6E)-farnesyl diphosphate = (-)-vetispiradiene + diphosphate	CHEBI:175763	CHEBI:33019, CHEBI:46971
RHEA:10344	1-O-(1Z-alkenyl)-sn-glycero-3-phosphocholine + an acyl-CoA = 1-O-(1Z-alkenyl)-2-acyl-sn-glycero-3-phosphocholine + CoA	CHEBI:58342, CHEBI:77287	CHEBI:57287, CHEBI:77286
RHEA:10348	5-oxo-L-proline + ATP + 2 H2O = ADP + H(+) + L-glutamate + phosphate	CHEBI:15377, CHEBI:58402, CHEBI:30616	CHEBI:29985, CHEBI:456216, CHEBI:15378, CHEBI:43474
RHEA:10352	an N-acetylarylalkylamine + H2O = acetate + an arylalkylamine	CHEBI:15377, CHEBI:18096	CHEBI:142408, CHEBI:30089
RHEA:10356	3alpha-hydroxy-5beta-androstan-17-one + NAD(+) = 5beta-androstane-3,17-dione + H(+) + NADH	CHEBI:57540, CHEBI:28195	CHEBI:57945, CHEBI:16985, CHEBI:15378
RHEA:10360	3,4-dihydrocoumarin + H2O = 3-(2-hydroxyphenyl)propanoate + H(+)	CHEBI:15377, CHEBI:16151	CHEBI:46957, CHEBI:15378
RHEA:10364	2-oxoglutarate + dodecanoyl-CoA + H2O = (3S,4S)-3-hydroxytetradecane-1,3,4-tricarboxylate + CoA + H(+)	CHEBI:15377, CHEBI:16810, CHEBI:57375	CHEBI:57287, CHEBI:57435, CHEBI:15378
RHEA:10368	2-oxoglutarate + dTDP-4-amino-4,6-dideoxy-D-galactose = dTDP-4-dehydro-6-deoxy-D-galactose + L-glutamate	CHEBI:16810, CHEBI:57596	CHEBI:29985, CHEBI:57837
RHEA:10372	CoA + NAD(+) + phenylglyoxylate = benzoyl-CoA + CO2 + NADH	CHEBI:57287, CHEBI:36656, CHEBI:57540	CHEBI:57369, CHEBI:57945, CHEBI:16526
RHEA:10376	ATP + Cu(2+)(in) + H2O = ADP + Cu(2+)(out) + H(+) + phosphate	CHEBI:15377, CHEBI:29036, CHEBI:30616	CHEBI:456216, CHEBI:15378, CHEBI:29036, CHEBI:43474
RHEA:10380	diphosphate + orotidine 5'-phosphate = 5-phospho-alpha-D-ribose 1-diphosphate + orotate	CHEBI:33019, CHEBI:57538	CHEBI:58017, CHEBI:30839
RHEA:10388	GTP + oxaloacetate = CO2 + GDP + phosphoenolpyruvate	CHEBI:16452, CHEBI:37565	CHEBI:58702, CHEBI:16526, CHEBI:58189
RHEA:10392	(E)-cinnamyl alcohol + NADP(+) = (E)-cinnamaldehyde + H(+) + NADPH	CHEBI:33227, CHEBI:58349	CHEBI:16731, CHEBI:15378, CHEBI:57783
RHEA:10396	an L-alpha-amino acid + H2O + NAD(+) = a 2-oxocarboxylate + H(+) + NADH + NH4(+)	CHEBI:15377, CHEBI:57540, CHEBI:59869	CHEBI:28938, CHEBI:57945, CHEBI:15378, CHEBI:35179
RHEA:10400	L-glutamine + pyruvate = 2-oxoglutaramate + L-alanine	CHEBI:15361, CHEBI:58359	CHEBI:57972, CHEBI:16769
RHEA:10404	all-trans-beta-carotene + O2 = 2 retinal	CHEBI:15379, CHEBI:17579	CHEBI:15035
RHEA:10408	4,8,12-trimethyltridecanoyl-CoA + propanoyl-CoA = 3-oxopristanoyl-CoA + CoA	CHEBI:57351, CHEBI:57392	CHEBI:57291, CHEBI:57287
RHEA:10412	ADP-D-ribose + H2O = AMP + D-ribose 5-phosphate + 2 H(+)	CHEBI:15377, CHEBI:57967	CHEBI:456215, CHEBI:15378, CHEBI:78346
RHEA:10416	fumarate + toluene = 2-benzylsuccinate	CHEBI:17578, CHEBI:29806	CHEBI:57621
RHEA:10420	pyruvate + taurine = L-alanine + sulfoacetaldehyde	CHEBI:15361, CHEBI:507393	CHEBI:58246, CHEBI:57972
RHEA:10424	H2O + N-benzoylglycine = benzoate + glycine	CHEBI:15377, CHEBI:606565	CHEBI:16150, CHEBI:57305
RHEA:10428	(5Z,8Z,11Z,14Z)-eicosatetraenoate + O2 = (12S)-hydroperoxy-(5Z,8Z,10E,14Z)-eicosatetraenoate	CHEBI:15379, CHEBI:32395	CHEBI:57444
RHEA:10432	2-(acetamidomethylene)succinate + H(+) + 2 H2O = acetate + CO2 + NH4(+) + succinate semialdehyde	CHEBI:15377, CHEBI:57698, CHEBI:15378	CHEBI:28938, CHEBI:57706, CHEBI:16526, CHEBI:30089
RHEA:10436	7alpha,12alpha-dihydroxy-3-oxochol-4-en-24-oyl-CoA = 12alpha-hydroxy-3-oxochola-4,6-dien-24-oyl-CoA + H2O	CHEBI:132977	CHEBI:132978, CHEBI:15377
RHEA:10440	D-glucono-1,5-lactone + H2O = D-gluconate + H(+)	CHEBI:15377, CHEBI:16217	CHEBI:18391, CHEBI:15378
RHEA:10444	(S)-reticuline + S-adenosyl-L-methionine = (S)-laudanine + H(+) + S-adenosyl-L-homocysteine	CHEBI:57873, CHEBI:59789	CHEBI:15378, CHEBI:57856, CHEBI:75999
RHEA:10448	2-oxoglutarate + a flavanone + O2 = a flavone + CO2 + H2O + succinate	CHEBI:15379, CHEBI:16810, CHEBI:28863	CHEBI:15377, CHEBI:30031, CHEBI:16526, CHEBI:24043
RHEA:10452	2-(L-cystein-S-yl)-2-(1H-indol-3-yl)-acetonitrile + O2 + reduced [NADPH--hemoprotein reductase] = (R)-dihydrocamalexate + 2 H(+) + 2 H2O + hydrogen cyanide + oxidized [NADPH--hemoprotein reductase]	CHEBI:79191, GENERIC:11964, CHEBI:15379	GENERIC:11965, CHEBI:79200, CHEBI:15377, CHEBI:18407, CHEBI:15378
RHEA:10456	acetyl-CoA + D-maltose = 1-O-acetylmaltose + CoA	CHEBI:17306, CHEBI:57288	CHEBI:57287, CHEBI:13714
RHEA:10460	prostaglandin A1 = prostaglandin C1	CHEBI:57398	CHEBI:57399
RHEA:10464	[(1->4)-N-acetyl-beta-D-glucosaminyl](n) + n H2O = n acetate + chitosan	CHEBI:15377, POLYMER:9593	CHEBI:30089, POLYMER:9597
RHEA:10468	D-xylulose 5-phosphate + phosphate = acetyl phosphate + D-glyceraldehyde 3-phosphate + H2O	CHEBI:57737, CHEBI:43474	CHEBI:15377, CHEBI:22191, CHEBI:59776
RHEA:10472	(2R,3S)-2,3-dimethylmalate = propanoate + pyruvate	CHEBI:57422	CHEBI:15361, CHEBI:17272
RHEA:10476	alpha-N-acetylneuraminyl-(2->3)-beta-D-galactosyl-(1->3)-N-acetyl-D-galactosaminyl group + CMP-N-acetyl-beta-neuraminate = CMP + H(+) + N-acetyl-alpha-neuraminyl-(2->3)-beta-D-galactosyl-(1->3)-[N-acetyl-alpha-neuraminyl-(2->6)]-N-acetyl-D-galactosaminyl group	CHEBI:57812, CHEBI:16901	CHEBI:15378, CHEBI:60377, CHEBI:58294
RHEA:10480	2-oxoglutarate + 4-hydroxy-L-glutamate = 4-hydroxy-2-oxoglutarate + L-glutamate	CHEBI:16810, CHEBI:32812	CHEBI:29985, CHEBI:17742
RHEA:10484	H2O + N-feruloylglycine = glycine + trans-ferulate	CHEBI:15377, CHEBI:58236	CHEBI:57305, CHEBI:29749
RHEA:10488	5-formyltetrahydrofolate + ATP = 5,10-methenyltetrahydrofolate + ADP + phosphate	CHEBI:57457, CHEBI:30616	CHEBI:57455, CHEBI:456216, CHEBI:43474
RHEA:10492	H2O + phosphocholine = choline + phosphate	CHEBI:15377, CHEBI:295975	CHEBI:15354, CHEBI:43474
RHEA:10496	L-arginyl-[myelin basic protein] + S-adenosyl-L-methionine = H(+) + N(omega)-methyl-L-arginyl-[myelin basic protein] + S-adenosyl-L-homocysteine	CHEBI:59789, GENERIC:9594	CHEBI:15378, CHEBI:57856, GENERIC:9596
RHEA:10500	butanoyl-CoA + glyoxylate + H2O = 3-ethylmalate + CoA + H(+)	CHEBI:15377, CHEBI:36655, CHEBI:57371	CHEBI:57287, CHEBI:15378, CHEBI:57425
RHEA:10504	7alpha-hydroxycholest-4-en-3-one + H(+) + NADPH + O2 = 7alpha,12alpha-dihydroxycholest-4-en-3-one + H2O + NADP(+)	CHEBI:15379, CHEBI:15378, CHEBI:57783, CHEBI:17899	CHEBI:15377, CHEBI:28477, CHEBI:58349
RHEA:10508	D-glyceraldehyde 3-phosphate + D-sedoheptulose 7-phosphate = aldehydo-D-ribose 5-phosphate + D-xylulose 5-phosphate	CHEBI:57483, CHEBI:59776	CHEBI:57737, CHEBI:58273
RHEA:10512	(S)-malate + O2 = H2O2 + oxaloacetate	CHEBI:15379, CHEBI:15589	CHEBI:16240, CHEBI:16452
RHEA:10516	(1S,3R,4S)-3,4-dihydroxycyclohexane-1-carboxylate + NAD(+) = (1S,4S)-4-hydroxy-3-oxocyclohexane-1-carboxylate + H(+) + NADH	CHEBI:57413, CHEBI:57540	CHEBI:57945, CHEBI:15378, CHEBI:57414
RHEA:10520	a 1,2-diacyl-3-O-(beta-D-galactosyl)-sn-glycerol + UDP-alpha-D-galactose = 1,2-diacyl-3-O-[alpha-D-galactosyl-(1->6)-beta-D-galactosyl]-sn-glycerol + H(+) + UDP	CHEBI:17615, CHEBI:66914	CHEBI:28396, CHEBI:58223, CHEBI:15378
RHEA:10524	2-oxoglutarate + H(+) = CO2 + succinate semialdehyde	CHEBI:16810, CHEBI:15378	CHEBI:57706, CHEBI:16526
RHEA:10528	dihydrosanguinarine + O2 + reduced [NADPH--hemoprotein reductase] = 10-hydroxydihydrosanguinarine + H(+) + H2O + oxidized [NADPH--hemoprotein reductase]	GENERIC:11964, CHEBI:15379, CHEBI:17209	GENERIC:11965, CHEBI:15377, CHEBI:15378, CHEBI:15878
RHEA:10532	(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate + L-serine = D-glyceraldehyde 3-phosphate + H2O + L-tryptophan	CHEBI:33384, CHEBI:58866	CHEBI:15377, CHEBI:57912, CHEBI:59776
RHEA:10536	4-deoxy-beta-D-gluc-4-enuronosyl-(1->3)-N-acetyl-D-galactosamine 6-sulfate + H2O = 4-deoxy-beta-D-gluc-4-enuronosyl-(1->3)-N-acetyl-D-galactosamine + H(+) + sulfate	CHEBI:15377, CHEBI:57878	CHEBI:15378, CHEBI:57850, CHEBI:16189
RHEA:10540	7,8-dihydroneopterin = 6-hydroxymethyl-7,8-dihydropterin + glycolaldehyde	CHEBI:17001	CHEBI:44841, CHEBI:17071
RHEA:10544	3 A + 3 H2O + hydrogen sulfide = 3 AH2 + H(+) + sulfite	CHEBI:15377, CHEBI:13193, CHEBI:29919	CHEBI:17499, CHEBI:15378, CHEBI:17359
RHEA:10548	L-arginine + O2 = 4-guanidinobutanamide + CO2 + H2O	CHEBI:15379, CHEBI:32682	CHEBI:15377, CHEBI:58365, CHEBI:16526
