rheaid	reactionEquation	compoundID_L	compoundID_R	compoundName_L	compoundName_R	direction
RHEA:10120	adenosine in double-stranded RNA + H(+) + H2O = inosine in double-stranded RNA + NH4(+)	GENERIC:13885	GENERIC:13886	adenosine in double-stranded RNA	inosine in double-stranded RNA	L<>R
RHEA:10128	all-trans-violaxanthin = all-trans-neoxanthin	CHEBI:35288	CHEBI:32446	all-trans-violaxanthin	all-trans-neoxanthin	L<>R
RHEA:10140	NADP(+) + prostaglandin F2alpha = H(+) + NADPH + prostaglandin D2	CHEBI:57404	CHEBI:57406	prostaglandin F2alpha	prostaglandin D2	L<>R
RHEA:10144	a ribonucleoside 3'-phosphate + H2O = a ribonucleoside + phosphate	CHEBI:13197	CHEBI:18254	a ribonucleoside 3'-phosphate	a ribonucleoside	L<>R
RHEA:10148	blasticidin S + H(+) + H2O = deaminohydroxyblasticidin S + NH4(+)	CHEBI:57289	CHEBI:57697	blasticidin S	deaminohydroxyblasticidin S	L<>R
RHEA:10160	L-iditol + NAD(+) = H(+) + keto-L-sorbose + NADH	CHEBI:18202	CHEBI:13172	L-iditol	keto-L-sorbose	L<>R
RHEA:10172	(3R)-hydroxybutanoate dimer + H2O = 2 (R)-3-hydroxybutanoate + H(+)	CHEBI:10979	CHEBI:10983	(3R)-hydroxybutanoate dimer	(R)-3-hydroxybutanoate	L<>R
RHEA:10176	(2S,3R)-2-hydroxy-3-(indol-3-yl)butanoate + NAD(+) = (R)-3-(indol-3-yl)-2-oxobutanoate + H(+) + NADH	CHEBI:131783	CHEBI:91180	(2S,3R)-2-hydroxy-3-(indol-3-yl)butanoate	(R)-3-(indol-3-yl)-2-oxobutanoate	L<>R
RHEA:10184	(4,5-dihydro-5-oxofuran-2-yl)-acetate + H2O = 3-oxoadipate + H(+)	CHEBI:58425	CHEBI:15775	(4,5-dihydro-5-oxofuran-2-yl)-acetate	3-oxoadipate	L<>R
RHEA:10196	(1R,6R)-6-hydroxy-2-succinyl-cyclohexa-2,4-diene-1-carboxylate = 2-succinylbenzoate + H2O	CHEBI:58689	CHEBI:18325	(1R,6R)-6-hydroxy-2-succinyl-cyclohexa-2,4-diene-1-carboxylate	2-succinylbenzoate	L<>R
RHEA:10212	2-oxoglutarate + 5-aminopentanoate = 5-oxopentanoate + L-glutamate	CHEBI:356010	CHEBI:16120	5-aminopentanoate	5-oxopentanoate	L<>R
RHEA:10232	5,6-dihydrouridine 5'-monophosphate + diphosphate = 5,6-dihydrouracil + 5-phospho-alpha-D-ribose 1-diphosphate	CHEBI:142106	CHEBI:15901	5,6-dihydrouridine 5'-monophosphate	5,6-dihydrouracil	L<>R
RHEA:10236	trans-2-coumarate + UDP-alpha-D-glucose = H(+) + trans-beta-D-glucosyl-2-hydroxycinnamate + UDP	CHEBI:12875	CHEBI:58181	trans-2-coumarate	trans-beta-D-glucosyl-2-hydroxycinnamate	L<>R
RHEA:10240	a 2,3-saturated acyl-[ACP] + NAD(+) = a (2E)-enoyl-[ACP] + H(+) + NADH	GENERIC:9926	GENERIC:9925	a 2,3-saturated acyl-[ACP]	a (2E)-enoyl-[ACP]	L<>R
RHEA:10248	dUTP + H2O = diphosphate + dUMP + H(+)	CHEBI:61555	CHEBI:246422	dUTP	dUMP	L<>R
RHEA:10268	2-dehydro-3-deoxy-D-glucarate = 2-hydroxy-3-oxopropanoate + pyruvate	CHEBI:58098	CHEBI:57978	2-dehydro-3-deoxy-D-glucarate	2-hydroxy-3-oxopropanoate	L<>R
RHEA:10288	H2O + L-rhamnono-1,4-lactone = H(+) + L-rhamnonate	CHEBI:17937	CHEBI:58118	L-rhamnono-1,4-lactone	L-rhamnonate	L<>R
RHEA:10292	acetyl-CoA + D-glucosamine 6-phosphate = CoA + H(+) + N-acetyl-D-glucosamine 6-phosphate	CHEBI:58725	CHEBI:57513	D-glucosamine 6-phosphate	N-acetyl-D-glucosamine 6-phosphate	L<>R
RHEA:10320	trans-3-hydroxy-L-proline = 1-pyrroline-2-carboxylate + H2O	CHEBI:57938	CHEBI:39785	trans-3-hydroxy-L-proline	1-pyrroline-2-carboxylate	L<>R
RHEA:10324	an L-glycol + NADP(+) = a 2-hydroxycarbonyl + H(+) + NADPH	CHEBI:27636	CHEBI:52501	an L-glycol	a 2-hydroxycarbonyl	L<>R
RHEA:10328	an L-glycol + NAD(+) = a 2-hydroxycarbonyl + H(+) + NADH	CHEBI:27636	CHEBI:52501	an L-glycol	a 2-hydroxycarbonyl	L<>R
RHEA:10344	1-O-(1Z-alkenyl)-sn-glycero-3-phosphocholine + an acyl-CoA = 1-O-(1Z-alkenyl)-2-acyl-sn-glycero-3-phosphocholine + CoA	CHEBI:77287	CHEBI:77286	1-O-(1Z-alkenyl)-sn-glycero-3-phosphocholine	1-O-(1Z-alkenyl)-2-acyl-sn-glycero-3-phosphocholine	L<>R
RHEA:10352	an N-acetylarylalkylamine + H2O = acetate + an arylalkylamine	CHEBI:18096	CHEBI:142408	an N-acetylarylalkylamine	an arylalkylamine	L<>R
RHEA:10356	3alpha-hydroxy-5beta-androstan-17-one + NAD(+) = 5beta-androstane-3,17-dione + H(+) + NADH	CHEBI:28195	CHEBI:16985	3alpha-hydroxy-5beta-androstan-17-one	5beta-androstane-3,17-dione	L<>R
RHEA:10360	3,4-dihydrocoumarin + H2O = 3-(2-hydroxyphenyl)propanoate + H(+)	CHEBI:16151	CHEBI:46957	3,4-dihydrocoumarin	3-(2-hydroxyphenyl)propanoate	L<>R
RHEA:10368	2-oxoglutarate + dTDP-4-amino-4,6-dideoxy-D-galactose = dTDP-4-dehydro-6-deoxy-D-galactose + L-glutamate	CHEBI:57596	CHEBI:57837	dTDP-4-amino-4,6-dideoxy-D-galactose	dTDP-4-dehydro-6-deoxy-D-galactose	L<>R
RHEA:10392	(E)-cinnamyl alcohol + NADP(+) = (E)-cinnamaldehyde + H(+) + NADPH	CHEBI:33227	CHEBI:16731	(E)-cinnamyl alcohol	(E)-cinnamaldehyde	L<>R
RHEA:10408	4,8,12-trimethyltridecanoyl-CoA + propanoyl-CoA = 3-oxopristanoyl-CoA + CoA	CHEBI:57351	CHEBI:57291	4,8,12-trimethyltridecanoyl-CoA	3-oxopristanoyl-CoA	L<>R
RHEA:10416	fumarate + toluene = 2-benzylsuccinate	CHEBI:17578	CHEBI:57621	toluene	2-benzylsuccinate	L<>R
RHEA:10436	7alpha,12alpha-dihydroxy-3-oxochol-4-en-24-oyl-CoA = 12alpha-hydroxy-3-oxochola-4,6-dien-24-oyl-CoA + H2O	CHEBI:132977	CHEBI:132978	7alpha,12alpha-dihydroxy-3-oxochol-4-en-24-oyl-CoA	12alpha-hydroxy-3-oxochola-4,6-dien-24-oyl-CoA	L<>R
RHEA:10460	prostaglandin A1 = prostaglandin C1	CHEBI:57398	CHEBI:57399	prostaglandin A1	prostaglandin C1	L<>R
RHEA:10464	[(1->4)-N-acetyl-beta-D-glucosaminyl](n) + n H2O = n acetate + chitosan	POLYMER:9593	POLYMER:9597	[(1->4)-N-acetyl-beta-D-glucosaminyl](n)	chitosan	L<>R
RHEA:10476	alpha-N-acetylneuraminyl-(2->3)-beta-D-galactosyl-(1->3)-N-acetyl-D-galactosaminyl group + CMP-N-acetyl-beta-neuraminate = CMP + H(+) + N-acetyl-alpha-neuraminyl-(2->3)-beta-D-galactosyl-(1->3)-[N-acetyl-alpha-neuraminyl-(2->6)]-N-acetyl-D-galactosaminyl group	CHEBI:16901	CHEBI:58294	alpha-N-acetylneuraminyl-(2->3)-beta-D-galactosyl-(1->3)-N-acetyl-D-galactosaminyl group	N-acetyl-alpha-neuraminyl-(2->3)-beta-D-galactosyl-(1->3)-[N-acetyl-alpha-neuraminyl-(2->6)]-N-acetyl-D-galactosaminyl group	L<>R
RHEA:10480	2-oxoglutarate + 4-hydroxy-L-glutamate = 4-hydroxy-2-oxoglutarate + L-glutamate	CHEBI:32812	CHEBI:17742	4-hydroxy-L-glutamate	4-hydroxy-2-oxoglutarate	L<>R
RHEA:10484	H2O + N-feruloylglycine = glycine + trans-ferulate	CHEBI:58236	CHEBI:29749	N-feruloylglycine	trans-ferulate	L<>R
RHEA:10508	D-glyceraldehyde 3-phosphate + D-sedoheptulose 7-phosphate = aldehydo-D-ribose 5-phosphate + D-xylulose 5-phosphate	CHEBI:57483	CHEBI:58273	D-sedoheptulose 7-phosphate	aldehydo-D-ribose 5-phosphate	L<>R
RHEA:10516	(1S,3R,4S)-3,4-dihydroxycyclohexane-1-carboxylate + NAD(+) = (1S,4S)-4-hydroxy-3-oxocyclohexane-1-carboxylate + H(+) + NADH	CHEBI:57413	CHEBI:57414	(1S,3R,4S)-3,4-dihydroxycyclohexane-1-carboxylate	(1S,4S)-4-hydroxy-3-oxocyclohexane-1-carboxylate	L<>R
RHEA:10536	4-deoxy-beta-D-gluc-4-enuronosyl-(1->3)-N-acetyl-D-galactosamine 6-sulfate + H2O = 4-deoxy-beta-D-gluc-4-enuronosyl-(1->3)-N-acetyl-D-galactosamine + H(+) + sulfate	CHEBI:57878	CHEBI:57850	4-deoxy-beta-D-gluc-4-enuronosyl-(1->3)-N-acetyl-D-galactosamine 6-sulfate	4-deoxy-beta-D-gluc-4-enuronosyl-(1->3)-N-acetyl-D-galactosamine	L<>R
RHEA:10540	7,8-dihydroneopterin = 6-hydroxymethyl-7,8-dihydropterin + glycolaldehyde	CHEBI:17001	CHEBI:44841	7,8-dihydroneopterin	6-hydroxymethyl-7,8-dihydropterin	L<>R
RHEA:10560	4-hydroxy-1-pyrroline-2-carboxylate + H(+) + H2O = 2,5-dioxopentanoate + NH4(+)	CHEBI:57745	CHEBI:58136	4-hydroxy-1-pyrroline-2-carboxylate	2,5-dioxopentanoate	L<>R
RHEA:10568	luteolin + UDP-alpha-D-glucuronate = H(+) + luteolin 7-O-beta-D-glucuronide + UDP	CHEBI:57545	CHEBI:77671	luteolin	luteolin 7-O-beta-D-glucuronide	L<>R
RHEA:10576	CTP + H(+) + N-methylethanolamine phosphate = CDP-N-methylethanolamine + diphosphate	CHEBI:57781	CHEBI:57547	N-methylethanolamine phosphate	CDP-N-methylethanolamine	L<>R
RHEA:10600	prostaglandin H2 = prostaglandin D2	CHEBI:57405	CHEBI:57406	prostaglandin H2	prostaglandin D2	L<>R
RHEA:10612	N(4)-{beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->3)-[beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc}-L-asparaginyl-[protein] + UDP-alpha-D-xylose = H(+) + N(4)-{beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->3)-[beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->6)]-[beta-D-Xyl-(1->2)]-beta-D-Man-(1->4)-beta-D-GlcNAcl-(1->4)-beta-D-GlcNAc}-L-asparaginyl-[protein] + UDP	GENERIC:13526	GENERIC:13530	N(4)-{beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->3)-[beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc}-L-asparaginyl-[protein]	N(4)-{beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->3)-[beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->6)]-[beta-D-Xyl-(1->2)]-beta-D-Man-(1->4)-beta-D-GlcNAcl-(1->4)-beta-D-GlcNAc}-L-asparaginyl-[protein]	L<>R
RHEA:10616	(2R,3S)-catechin + H2O + NADP(+) = (2R,3S,4S)-leucocyanidin + H(+) + NADPH	CHEBI:15600	CHEBI:11412	(2R,3S)-catechin	(2R,3S,4S)-leucocyanidin	L<>R
RHEA:10620	(E)-cinnamaldehyde + CoA + NADP(+) = (E)-cinnamoyl-CoA + H(+) + NADPH	CHEBI:16731	CHEBI:57252	(E)-cinnamaldehyde	(E)-cinnamoyl-CoA	L<>R
RHEA:10628	phosphate + tRNA(n+1) = a ribonucleoside 5'-diphosphate + tRNA(n)	POLYMER:11133	POLYMER:11132	tRNA(n+1)	tRNA(n)	L<>R
RHEA:10632	D-mannonate + NAD(+) = D-mannuronate + H(+) + NADH	CHEBI:17767	CHEBI:30624	D-mannonate	D-mannuronate	L<>R
RHEA:10636	D-mannonate + NADP(+) = D-mannuronate + H(+) + NADPH	CHEBI:17767	CHEBI:30624	D-mannonate	D-mannuronate	L<>R
RHEA:10640	muconolactone = cis,cis-muconate + H(+)	CHEBI:58372	CHEBI:32379	muconolactone	cis,cis-muconate	L<>R
RHEA:10644	2-oxo-2H-pyran-4,6-dicarboxylate + H2O = (1E)-4-oxobut-1-ene-1,2,4-tricarboxylate + H(+)	CHEBI:58304	CHEBI:57471	2-oxo-2H-pyran-4,6-dicarboxylate	(1E)-4-oxobut-1-ene-1,2,4-tricarboxylate	L<>R
RHEA:10664	NAD(+) + perillyl alcohol = H(+) + NADH + perillyl aldehyde	CHEBI:15420	CHEBI:15421	perillyl alcohol	perillyl aldehyde	L<>R
RHEA:10668	1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycerol) + L-lysyl-tRNA(Lys) = 1,2-diacyl-sn-glycero-3-phospho-1'-(3'-O-L-lysyl)-sn-glycerol + tRNA(Lys)	GENERIC:9696	CHEBI:75792,GENERIC:9697	L-lysyl-tRNA(Lys)	1,2-diacyl-sn-glycero-3-phospho-1'-(3'-O-L-lysyl)-sn-glycerol,tRNA(Lys)	L<>R
RHEA:10672	cyclobutadithymidine in DNA = thymidine dimer in DNA	GENERIC:14585	GENERIC:14449	cyclobutadithymidine in DNA	thymidine dimer in DNA	L<>R
RHEA:10676	(2R,3S)-3-isopropylmalate = 2-isopropylmaleate + H2O	CHEBI:35121	CHEBI:58085	(2R,3S)-3-isopropylmalate	2-isopropylmaleate	L<>R
RHEA:10684	H2O + O-phospho-L-tyrosyl-[protein] = L-tyrosyl-[protein] + phosphate	GENERIC:10137	GENERIC:10136	O-phospho-L-tyrosyl-[protein]	L-tyrosyl-[protein]	L<>R
RHEA:10688	H2O + streptomycin 6-phosphate = phosphate + streptomycin	CHEBI:57787	CHEBI:58007	streptomycin 6-phosphate	streptomycin	L<>R
RHEA:10700	H2O + limonene 1,2-epoxide = limonene-1,2-diol	CHEBI:16431	CHEBI:17219	limonene 1,2-epoxide	limonene-1,2-diol	L<>R
RHEA:10720	2-amino-6-acetyl-3,7,8,9-tetrahydro-3H-pyrimido[4,5-b][1,4]diazepin-4-one + glutathione disulfide + H2O = 6-pyruvoyl-5,6,7,8-tetrahydropterin + 2 glutathione	CHEBI:27714	CHEBI:136564	2-amino-6-acetyl-3,7,8,9-tetrahydro-3H-pyrimido[4,5-b][1,4]diazepin-4-one	6-pyruvoyl-5,6,7,8-tetrahydropterin	L<>R
RHEA:10724	GDP-6-deoxy-alpha-D-talose + NADP(+) = GDP-4-dehydro-alpha-D-rhamnose + H(+) + NADPH	CHEBI:57638	CHEBI:57964	GDP-6-deoxy-alpha-D-talose	GDP-4-dehydro-alpha-D-rhamnose	L<>R
RHEA:10728	GDP-6-deoxy-alpha-D-talose + NAD(+) = GDP-4-dehydro-alpha-D-rhamnose + H(+) + NADH	CHEBI:57638	CHEBI:57964	GDP-6-deoxy-alpha-D-talose	GDP-4-dehydro-alpha-D-rhamnose	L<>R
RHEA:10740	a secondary alcohol + NAD(+) = a ketone + H(+) + NADH	CHEBI:35681	CHEBI:17087	a secondary alcohol	a ketone	L<>R
RHEA:10804	(S)-allantoin = (R)-allantoin	CHEBI:15678	CHEBI:15677	(S)-allantoin	(R)-allantoin	L<>R
RHEA:10808	(S)-2-hydroxypropylphosphonate + H2O2 = (1R,2S)-epoxypropylphosphonate + 2 H2O	CHEBI:62246	CHEBI:62247	(S)-2-hydroxypropylphosphonate	(1R,2S)-epoxypropylphosphonate	L<>R
RHEA:10812	H2O + N-succinyl-L-glutamate 5-semialdehyde + NAD(+) = 2 H(+) + N-succinyl-L-glutamate + NADH	CHEBI:58520	CHEBI:58763	N-succinyl-L-glutamate 5-semialdehyde	N-succinyl-L-glutamate	L<>R
RHEA:10816	H2O + methyl-2-alpha-L-fucopyranosyl-beta-D-galactoside = L-fucose + methyl beta-D-galactoside	CHEBI:17512	CHEBI:17540,CHEBI:2181	methyl-2-alpha-L-fucopyranosyl-beta-D-galactoside	methyl beta-D-galactoside,L-fucose	L<>R
RHEA:10820	D-threo-isocitrate = D-erythro-isocitrate	CHEBI:15562	CHEBI:15563	D-threo-isocitrate	D-erythro-isocitrate	L<>R
RHEA:10832	a 6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol + H2O = 6-(alpha-D-glucosaminyl)-1D-myo-inositol + a 1,2-diacyl-sn-glycero-3-phosphate + H(+)	CHEBI:57997	CHEBI:58700	a 6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol	6-(alpha-D-glucosaminyl)-1D-myo-inositol	L<>R
RHEA:10852	dimethylallyl diphosphate + leachianone G = diphosphate + sophoraflavanone G	CHEBI:50208	CHEBI:50209	leachianone G	sophoraflavanone G	L<>R
RHEA:10856	a N-(2-hydroxyacyl)sphing-4-enine + UDP-alpha-D-galactose = a 1-(beta-D-galactosyl)-2-(2-hydroxyacyl)sphingosine + H(+) + UDP	CHEBI:16456	CHEBI:16994	a N-(2-hydroxyacyl)sphing-4-enine	a 1-(beta-D-galactosyl)-2-(2-hydroxyacyl)sphingosine	L<>R
RHEA:10880	7-methylxanthosine + H2O = 7-methylxanthine + D-ribose + H(+)	CHEBI:49310	CHEBI:48991	7-methylxanthosine	7-methylxanthine	L<>R
RHEA:10884	(24R,24(1)R)-fucosterol epoxide = acetaldehyde + cholesta-5,24-dien-3beta-ol	CHEBI:15577	CHEBI:17737	(24R,24(1)R)-fucosterol epoxide	cholesta-5,24-dien-3beta-ol	L<>R
RHEA:10888	4-carboxy-2-hydroxy-cis,cis-muconate 6-semialdehyde + H2O + NADP(+) = 4-carboxy-2-hydroxy-cis,cis-muconate + 2 H(+) + NADPH	CHEBI:58358	CHEBI:58142	4-carboxy-2-hydroxy-cis,cis-muconate 6-semialdehyde	4-carboxy-2-hydroxy-cis,cis-muconate	L<>R
RHEA:10892	(2R,3S)-3-isopropylmalate + NAD(+) = (2S)-2-isopropyl-3-oxosuccinate + H(+) + NADH	CHEBI:35121	CHEBI:17214	(2R,3S)-3-isopropylmalate	(2S)-2-isopropyl-3-oxosuccinate	L<>R
RHEA:10896	2 H2O + limonin = 2 H(+) + limonoate	CHEBI:16226	CHEBI:57763	limonin	limonoate	L<>R
RHEA:10900	an aromatic L-alpha-amino acid + glyoxylate = an aromatic oxo-acid + glycine	CHEBI:84824	CHEBI:73309	an aromatic L-alpha-amino acid	an aromatic oxo-acid	L<>R
RHEA:10908	3'-phosphoadenylyl sulfate + glycolithocholate = adenosine 3',5'-bisphosphate + H(+) + sulfoglycolithocholate	CHEBI:60008	CHEBI:60007	glycolithocholate	sulfoglycolithocholate	L<>R
RHEA:10916	(1R,2R,3R)-prephytoene diphosphate = all-trans-phytoene + diphosphate	CHEBI:58011	CHEBI:8191	(1R,2R,3R)-prephytoene diphosphate	all-trans-phytoene	L<>R
RHEA:10924	cis-2-chloro-4-carboxymethylenebut-2-en-1,4-olide = trans-2-chloro-4-carboxymethylenebut-2-en-1,4-olide	CHEBI:57681	CHEBI:57891	cis-2-chloro-4-carboxymethylenebut-2-en-1,4-olide	trans-2-chloro-4-carboxymethylenebut-2-en-1,4-olide	L<>R
RHEA:10936	6-decylubiquinone + 2 thiosulfate = 6-decylubiquinol + tetrathionate	CHEBI:52020	CHEBI:52021,CHEBI:15226	6-decylubiquinone	6-decylubiquinol,tetrathionate	L<>R
RHEA:10944	H2O + psi-UMP = phosphate + pseudouridine	CHEBI:58380	CHEBI:17802	psi-UMP	pseudouridine	L<>R
RHEA:10952	hydroxymalonate + sinapoyl-CoA = CoA + sinapoyltartronate	CHEBI:57393,CHEBI:17649	CHEBI:57680	sinapoyl-CoA,hydroxymalonate	sinapoyltartronate	L<>R
RHEA:10972	D-hexose + H(+) + phosphoramidate = alpha-D-hexose 1-phosphate + NH4(+)	CHEBI:4194,CHEBI:29920	CHEBI:57734	D-hexose,phosphoramidate	alpha-D-hexose 1-phosphate	L<>R
RHEA:10988	H2O + nitrous oxide = 2 e(-) + 2 H(+) + 2 nitric oxide	CHEBI:17045	CHEBI:10545	nitrous oxide	e(-)	L<>R
RHEA:11008	a 5'-end triphospho-(purine-ribonucleotide) in mRNA + H2O = a 5'-end diphospho-(purine-ribonucleoside) in mRNA + H(+) + phosphate	GENERIC:13942	GENERIC:13929	a 5'-end triphospho-(purine-ribonucleotide) in mRNA	a 5'-end diphospho-(purine-ribonucleoside) in mRNA	L<>R
RHEA:11016	allantoate + H2O = (S)-ureidoglycolate + urea	CHEBI:17536	CHEBI:57296	allantoate	(S)-ureidoglycolate	L<>R
RHEA:11032	(2R)-2-chloro-2,5-dihydro-5-oxofuran-2-acetate = 3-chloro-cis,cis-muconate + H(+)	CHEBI:85538	CHEBI:17589	(2R)-2-chloro-2,5-dihydro-5-oxofuran-2-acetate	3-chloro-cis,cis-muconate	L<>R
RHEA:11040	D-erythro-1-(imidazol-4-yl)glycerol 3-phosphate = 3-(imidazol-4-yl)-2-oxopropyl phosphate + H2O	CHEBI:58278	CHEBI:57766	D-erythro-1-(imidazol-4-yl)glycerol 3-phosphate	3-(imidazol-4-yl)-2-oxopropyl phosphate	L<>R
RHEA:11044	a haloacetate + H2O = a halide anion + glycolate + H(+)	CHEBI:85638	CHEBI:16042	a haloacetate	a halide anion	L<>R
RHEA:11048	1-O-alkyl-2-acetyl-sn-glycero-3-phosphocholine + 1-organyl-2-lyso-sn-glycero-3-phospholipid = 1-O-alkyl-sn-glycero-3-phosphocholine + 1-organyl-2-acetyl-sn-glycero-3-phospholipid	CHEBI:36707,CHEBI:76590	CHEBI:685	1-O-alkyl-2-acetyl-sn-glycero-3-phosphocholine,1-organyl-2-lyso-sn-glycero-3-phospholipid	1-organyl-2-acetyl-sn-glycero-3-phospholipid	L<>R
RHEA:11068	(5R)-5-O-[alpha-D-glucosyl-(1->2)-beta-D-galactosyl]-5-hydroxy-L-lysyl-[procollagen] + H2O = (5R)-5-O-(beta-D-galactosyl)-5-hydroxy-L-lysyl-[procollagen] + D-glucose	GENERIC:12754	GENERIC:12753	(5R)-5-O-[alpha-D-glucosyl-(1->2)-beta-D-galactosyl]-5-hydroxy-L-lysyl-[procollagen]	(5R)-5-O-(beta-D-galactosyl)-5-hydroxy-L-lysyl-[procollagen]	L<>R
RHEA:11080	dTMP + H2O = phosphate + thymidine	CHEBI:63528	CHEBI:17748	dTMP	thymidine	L<>R
RHEA:11100	4-hydroxyhexan-3-one = 2 1-propanal	CHEBI:18351	CHEBI:17153	4-hydroxyhexan-3-one	1-propanal	L<>R
RHEA:11108	n 3'-phosphoadenylyl sulfate + chondroitin beta-D-glucuronate = n adenosine 3',5'-bisphosphate + chondroitin 6'-sulfate + 2 H(+)	POLYMER:9827	POLYMER:9828	chondroitin beta-D-glucuronate	chondroitin 6'-sulfate	L<>R
RHEA:11112	H2O + isochorismate = (2S,3S)-2,3-dihydroxy-2,3-dihydrobenzoate + pyruvate	CHEBI:29780	CHEBI:58764	isochorismate	(2S,3S)-2,3-dihydroxy-2,3-dihydrobenzoate	L<>R
RHEA:11116	acetyl-CoA + an alkane-alpha,omega-diamine = an N-acetylalkane-alpha,omega-diamine + CoA + H(+)	POLYMER:9766	POLYMER:9767	an alkane-alpha,omega-diamine	an N-acetylalkane-alpha,omega-diamine	L<>R
RHEA:11136	a beta-D-galactosyl-(1->3)-N-acetyl-alpha-D-galactosaminyl derivative + CMP-N-acetyl-beta-neuraminate = a beta-D-galactosyl-(1->3)-[N-acetyl-alpha-neuraminyl-(2->6)]-N-acetyl-alpha-D-galactosaminyl derivative + CMP + H(+)	CHEBI:133470	CHEBI:140764	a beta-D-galactosyl-(1->3)-N-acetyl-alpha-D-galactosaminyl derivative	a beta-D-galactosyl-(1->3)-[N-acetyl-alpha-neuraminyl-(2->6)]-N-acetyl-alpha-D-galactosaminyl derivative	L<>R
RHEA:11140	alpha-D-mannose 1-phosphate = D-mannose 6-phosphate	CHEBI:58409	CHEBI:58735	alpha-D-mannose 1-phosphate	D-mannose 6-phosphate	L<>R
